Ala,Volkan,Ala,Mersin,On an expansion formula of a Sturm-Liouville operator
Mamedov,Khanlar,Rashid,Mersin,An direct and inverse problem for a class Sturm-Liouville operator
Parasidis,Ioannis,Nestoriou,"Volos, Greece",A spectral problem for loaded differential equations with nonlocal boundary conditions
Sultanakhmedov,Murad,Salikhovich,Makhachkala,Sobolev orthogonal polynomials associated with Chebyshev polynomials of the second kind
Turgunov,Komiljon,Kurbonaliyevich,Tashkent,О спектральных разложениях кусочно-гладких функций по собственным функциям отвечаюше одному эллиптическому оператору
Абдурагимов,Гусен,Эльдерханович,Махачкала,Численное решение краевой задачи для одного нелинейного интегро-дифференциального уравнения второго порядка
Аблабеков,Бактыбай,Сапарбекович,Бишкек,О разрешимости обратной задачи для полулинейного псевдопараболического уравнения
Акишев,Габдолла,Акишевич,Астана,Об оценках порядка приближения функций в обобщенном пространстве Лоренца
Акылбаев,Мусабек,Исламович,Шымкент,Критерии вольтерровости задачи Коши для уравнения пантографа
Алмохамед,Муатаз,-,Москва,Критерий единственности решения в обратной задаче для абстрактного дифференциального уравнения второго порядка
Андрианова,Анастасия,Александровна,Казань,Модификации постановок оптимизационной задачи для метода опорных векторов
Антонов,Николай,Юрьевич,Екатеринбург,О поведении прямоугольных частичных сумм кратных тригонометрических рядов Фурье
Аристов,Анатолий,Игоревич,Москва,Точные решения нелинейного уравнения соболевского типа
Асташкин,Сергей,Владимирович,Самара,О некоторых проблемах теории дизъюнктно однородных банаховых решеток
Асхабов,Султан,Нажмудинович,Грозный,Нелинейные интегральные уравнения с ядрами типа потенциала в непериодическом случае
Атанов,Артем,Викторович,Воронеж,Голоморфные реализации разложимых 5-мерных алгебр Ли
Афанасенкова,Юлия,Вячеславовна,Калуга,Некоторые методы задач теплопроводности многослойной среды при наличии источников тепла
Афанасова,Мария,Сергеевна,Воронеж,О периодической задаче для дифференциального включения дробного порядка в банаховом пространстве
Базарханов,Дауренбек,Болысбекович,Алматы,Линейное восстановление псевдодифференциальных операторов на классах гладких функций на m-мерном торе
Балгимбаева,Шолпан,Албановна,Алматы,Приближенное восстановление псевдодифференциальных операторов с гладкими символами на классах периодических функций с заданной мажорантой модуля гладкости
Барановский,Евгений,Сергеевич,Воронеж,On the Boussinesq approximation for polymer fluid flows with temperature-dependent heat conductivity
Бахвалов,Александр,Николаевич,Москва,О средних Чезаро отрицательного порядка функций ограниченной обобщенной вариации.
Беднаж,Вера,Аркадьевна,Брянск,О некоторых задачах в соболевых пространствах функций
